Name,10_H2S_CH4,50_H2S_CH4,10_CO2_CH4,50_CO2_CH4
USI_0,6.62E-01,0.636625904,8.72E-01,1.05E+00
UTL_0,7.03E-01,0.672737477,9.35E-01,1.06E+00
UWY_0,6.32E-01,0.606423401,7.70E-01,1.06E+00
VET_0,5.92E-01,0.516274624,9.21E-01,1.11E+00
VET_1,6.04E-01,0.558416705,9.24E-01,1.04E+00
VFI_0,7.81E-01,0.725669979,9.46E-01,1.07E+00
VFI_1,7.50E-01,0.776048411,9.68E-01,1.05E+00
VNI_0,7.73E-01,0.775552186,2.80E-01,1.06E+00
VSV_0,1.351998922,1.16292278,1.213016557,1.148686531
WEI_0,1.759225571,1.498909468,1.240124739,1.156061581
WEN_0,5.85E-01,0.553762561,5.85E-01,1.10E+00
YFI,6.62E-01,0.593799855,5.88E-01,1.11E+00
YUG_0,9.94E-01,0.81141173,8.63E-01,1.25E+00
ZON_0,5.04E-01,0.409574468,5.46E-01,1.25213289
ZON_1,5.10E-01,0.399430235,6.34E-01,1.199574125
