Name,10_H2S_CH4,50_H2S_CH4,10_CO2_CH4,50_CO2_CH4
LTA_2,6.35E-01,6.25E-01,8.40E-01,1.02E+00
LTF_0,5.29E-01,4.85E-01,7.15E-01,1.089911299
LTF_1,5.43E-01,4.85E-01,7.72E-01,1.118643505
LTL_0,6.57E-01,6.55E-01,8.49E-01,1.00E+00
LTL_1,7.05E-01,6.65E-01,8.69E-01,1.06E+00
LTL_2,6.80E-01,6.59E-01,8.80E-01,1.03E+00
MAZ_0,5.48E-01,5.47E-01,7.71E-01,1.002141468
MAZ_1,5.72E-01,5.57E-01,7.91E-01,1.027841561
MEI_0,6.69E-01,6.16E-01,8.49E-01,1.09E+00
MEI_1,6.69E-01,6.25E-01,8.80E-01,1.07E+00
MEL_0,6.02E-01,5.66E-01,7.24E-01,1.07E+00
MEL_1,5.74E-01,5.18E-01,6.51E-01,1.108215277
MEL_2,0.581469612,0.530642094,0.684326009,1.095784934
MER_0,0.670062002,0.644450588,0.651219905,1.03974147
MER_1,0.72725749,0.700461889,0.661805992,1.038254189
MER_2,6.08E-01,5.36E-01,7.23E-01,1.13E+00
MFI_0,0.643197441,0.561329042,0.675245664,1.145847432
MFI_1,0.581805035,0.531011099,0.666597669,1.095655131
MFI_2,0.598455667,0.538266416,0.669145408,1.111820556
MFS_0,6.26E-01,6.03E-01,7.38E-01,1.04E+00
MFS_1,0.600433144,0.599213901,0.726377449,1.002034738
MON_0,1.803804993,1.55407283,0.668648435,1.160695276
MOR_0,0.624477057,0.54294787,0.471995864,1.150160248
MOR_1,0.602627135,0.536366582,0.462632814,1.123535947
MOZ_0,6.12E-01,5.75E-01,8.41E-01,1.06E+00
MOZ_1,6.15E-01,6.14E-01,8.54E-01,1.00E+00
MRE_0,5.29E-01,4.73E-01,7.12E-01,1.119703052
MRE_1,0.517007899,0.441238353,0.637461537,1.171720219
MRT,5.97E-01,5.53E-01,7.32E-01,1.079705329
MSE_0,6.16E-01,5.97E-01,9.38E-01,1.03E+00
MSE_1,6.30E-01,6.07E-01,8.97E-01,1.04E+00
MTF_0,5.52E-01,5.80E-01,7.75E-01,0.951277628
MTF_1,5.05E-01,5.59E-01,7.54E-01,0.903194735
MTT_0,5.87E-01,5.16E-01,7.56E-01,1.14E+00
MTT_1,5.42E-01,4.77E-01,6.59E-01,1.137476156
MTW_0,6.13E-01,6.22E-01,8.06E-01,9.85E-01
MTW_1,5.86E-01,5.73E-01,8.44E-01,1.023499353
MWF,0.68273309,0.638299034,0.651418378,1.069613228
MWW_0,6.41E-01,6.23E-01,8.43E-01,1.028444862
MWW_1,6.07E-01,6.06E-01,7.92E-01,1.002224664
NAT_0,9.17E-01,7.88E-01,8.69E-01,1.16E+00
NES_0,6.33E-01,6.20E-01,8.98E-01,1.02E+00
NES_1,6.18E-01,5.89E-01,8.77E-01,1.05E+00
NPT_0,6.39E-01,5.68E-01,7.32E-01,1.13E+00
OBW_0,6.62E-01,6.16E-01,7.56E-01,1.07E+00
OFF_0,5.48E-01,5.14E-01,7.90E-01,1.065692929
OFF_1,5.91E-01,5.36E-01,8.49E-01,1.10299964
OFF_2,5.83E-01,5.33E-01,8.12E-01,1.09346605
OKO_0,6.16E-01,5.89E-01,8.87E-01,1.05E+00
OKO_1,6.04E-01,5.83E-01,8.71E-01,1.04E+00
OSI_0,6.70E-01,6.40E-01,9.25E-01,1.05E+00
OSI_1,6.11E-01,6.48E-01,9.06E-01,0.942488899
OSO_0,6.91E-01,6.51E-01,8.33E-01,1.06E+00
OSO_1,6.98E-01,6.61E-01,8.40E-01,1.06E+00
OWE_0,5.46E-01,4.63E-01,6.38E-01,1.181359682
PAU_0,0.71188405,0.641788171,0.733193523,1.109219649
PAU_1,0.685986571,0.664966556,0.699735625,1.031610635
PCR_0,0.570822359,0.491302321,0.480031967,1.161855613
PCR_1,0.583540489,0.520788403,0.515422798,1.120494401
PHI_0,6.60E-01,5.96E-01,6.08E-01,1.11E+00
PHI_1,0.692374255,0.615144216,0.399117622,1.125547859
PHI_2,6.42E-01,5.38E-01,6.15E-01,1.19E+00
PON_0,0.647600755,0.583820301,0.541440895,1.109246721
PON_1,8.22E-01,6.97E-01,7.74E-01,1.180131462
POR,5.29E-01,4.55E-01,6.99E-01,1.163185939
POS,6.45E-01,6.02E-01,8.90E-01,1.07E+00
PSI,0.518792291,0.483571814,0.627729853,1.072834016
PUN_0,6.53E-01,5.58E-01,7.71E-01,1.17E+00
PWN,0.710471436,0.690848941,0.734746842,1.028403452
PWO,0.667080333,0.650882035,0.746482942,1.024886688
PWW,0.634803196,0.582760201,0.724933412,1.089304306
RHO_0,0.736385014,0.658836212,0.690529635,1.117705737
RHO_1,7.26E-01,6.99E-01,8.66E-01,1.04E+00
RON_0,0.651112205,0.653676903,0.722971749,0.996076504
RRO_0,1.256067917,1.107880034,1.447737908,1.133758059
RSN_0,0.786704958,0.770018728,0.364186165,1.021669901
RTE_0,5.80E-01,5.76E-01,9.37E-01,1.006579932
RTE_1,5.94E-01,5.91E-01,9.19E-01,1.005442169
RTH_0,6.79E-01,6.84E-01,9.01E-01,9.93E-01
RTH_1,6.90E-01,7.16E-01,9.10E-01,0.964229194
